CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
aurd-nano;اوردينو نانو;2.7;aurdino nano - تايب سي جكة حديثة;شريحة برمجة - ارجل المرففقة غير ملحومة;"10+p=2.6
20+p=2.4";;0.5;2.2
aurd-uno;اوردينو اونو ;5;aurdino uno 3 كوبي;"شريحة  مرفقة ب كبل - شريحة اصلية ليست ""smd""";3p=10%;;1;4
8266-12;esp8266 e12;2.9;esp8266 e12 - nodemcu v3;جكة تايب سي;"3p=10%
10+p=2.4";;0.7;2.2
mr4;module relay 5v 4ch;1.78;module relay 5v 4ch;;3p=10%;;0.4;1.38
mr16;module relay 5v 16ch;7;module relay 5v 16ch;;3p=10%;;1;6
mr8;module relay 5v 8ch;3.1;module relay 5v  8ch;;3p=10%;;0.5;2.6
mr2;module relay 5v 2ch;0.95;module relay 5v 2ch;;3p=10%;;0.19;0.76
lcd1;lcd 2*16 screen;1.7;لاتحتوي على ic2;شاشة تحتوي على 8 أرجل داتا - لاتدعم بروتوكول الاتصال ال ثنائي عبر sda - scl  يوجد موديول خاص لتحويل من 8بت أو 4 بت إلى 2 رجل بيانات فقط لتخفيف وتوفير الأرجل;3p=3%;;0.35;1.35
lcdh1;module lcd ic2;1.35;موديول مساعد ل lcd 2*16 لتوفير الأرجل;يركب مباشرة على الشاشة lcd 16*2 بسهولة تامة ;3p=1%;;0.35;1
lm2596;lm2596 خفض جهد 3 امبير;0.55;lm2596 dc-dc 3a من 32 فولت إل 1.5 فولت قابل للضبط ;يتم تحريك مقاومة متغيرة بالمفك للضبط - يحتوي حماية عكس اقطاب مدمجة ;3p=2%;;0.15;0.4
