CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
LDR01;"شريحة خلية ضوئية ""حساس ليلي""";2.40;تعمل وقت ظلام - لولب ضبط الحساسية - تعمل على 5-12 فولت او 220 فولت;"تعمل اساسا على 5 فولت عبر جكة يو اس بي يمكن شراء خافض جهد لتعمل على 12 فولت او جكة يو اس بي عبر راسية جوال لتعمل ع 220 فولت علما ريليه مستقل تماما عن التغذية ""جهد فقط للتغذية الدخل"" الريليه الخرج مستقل ومعزول تماماً";;;0.90;1.50
LOCK12-L;قفل 12 فولت حجم كبير;6.93;قفل كبير استهلاك 1 امبير;;;LOCK12-L;2.93;4
LOCK12-MINI;قفل صغير 12 فولت;4.99;قفل حجم صغير;;;LOCK12-MINI;0.99;4
LASER01;ليزر موديول 5 فولت لون احمر;0.73;;;;LASER01;0.23;0.50
VM-5-100;ساعة فولت رقمية من 5 إلى 99 فولت dc;0.63;;;;VM-5-100;0.13;0.50
DIMMER4000;دايمر 4000 وات - متحكم حرارة سرعة فولت 220v;4.89;يمكنك تخفيض ورفع الفولت للتحكم بالسرعة او حرارة او الاضاءة وغيرها;;;DIMMER4000;1.49;3.40
ESP32-CH-30P;esp32 holder 30 pin  هولدر;3.50;هولدر ل esp32 مشاريع نظيفة وانيقة  مخصص ل 30 رجل esp32;;;ESP32-CH-30P;1.75;1.75
ESP32-SH-38P;esp32 holder 38pin;4.40;هولدر esp32 ل مشاريع نظيفة 38 رجل;;;ESP32-SH-38P;2.20;2.20
ARD-SH-NANO;ardunio shield nano هولدر;2.30;هولدر لاوردينو نانو لمشاريع احترافية ونظيفة;;;ARD-SH-NANO;1.20;1.10
DIMMER-DC-1;دايمر 12 فولت لتخفيف شدة التيار وتحكم بالسرعة الحمولة - 3 امبير;1.10;;;;DIMMER-DC-1;0.35;0.75
ESP32-30P;esp32  - 30 pin;4.48;;;;ESP32-30P;0.58;3.90
ESP32-38PIN;esp32 wroom 38 pin;6.17;;;;ESP32-38PIN;1.17;5
DFR0756;شريحة خفض جهد من 6 لـ 30 فولت;0.65;تخفض الى 5 فولت عبر usb جكة - 3 امبير اقصى تيار;جودة عالية;;DFR0756;0.15;0.50
aurd-nano;اوردينو نانو;2.70;aurdino nano - تايب سي جكة حديثة;شريحة برمجة - ارجل المرففقة غير ملحومة;10+p=2.6, 20+p=2.4;;0.50;2.20
aurd-uno;اوردينو اونو;5;aurdino uno 3 كوبي;"شريحة  مرفقة ب كبل - شريحة اصلية ليست ""smd""";3p=10%;;1;4
8266-12;esp8266 e12;2.98;esp8266 e12 - nodemcu v3 جكة عادية;;5P=10%;8266-12;0.56;2.42
MR4;module relay 5v 4ch;1.78;module relay 5v 4ch;;3P=10%;mr4;0.40;1.38
mr16;module relay 5v 16ch;7;module relay 5v 16ch;;3p=10%;;1;6
MR8;module relay 5v 8ch;3.10;module relay 5v  8ch;;3P=10%;mr8;0.50;2.60
MR2;module relay 5v 2ch;0.95;module relay 5v 2ch;;3P=10%;mr2;0.19;0.76
LCD1;lcd 2*16 screen;1.70;لاتحتوي على ic2;شاشة تحتوي على 8 أرجل داتا - لاتدعم بروتوكول الاتصال ال ثنائي عبر sda - scl  يوجد موديول خاص لتحويل من 8بت أو 4 بت إلى 2 رجل بيانات فقط لتخفيف وتوفير الأرجل;3P=3%;lcd1;0.35;1.35
LCDH1;module lcd ic2;1.35;موديول مساعد ل lcd 2*16 لتوفير الأرجل;يركب مباشرة على الشاشة lcd 16*2 بسهولة تامة;3P=1%;lcdh1;0.35;1
LM2596;lm2596 خفض جهد 3 امبير;0.55;lm2596 dc-dc 3a من 32 فولت إل 1.5 فولت قابل للضبط;يتم تحريك مقاومة متغيرة بالمفك للضبط - يحتوي حماية عكس اقطاب مدمجة;3P=2%;lm2596;0.15;0.40
