CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
CB-72-8;شاحن ليثيوم 72 فولت 8 امبير;28.85;شاحن دراجة اصلي - تبريد معدني ومروحة - فعلي - جكة ثلاثية;;;CB-72-8;4.85;24
CB-60-8;شاحن ليثيوم نظام 60 فولت 8 امبير;27.62;شاحن دراجة اصلي جسم معدني تبريد مروحة - 8 امبير فعلي -;;;CB-60-8;4.62;23
CB-60-5;شاحن ليثيوم 60 نظام  - 5 أمبير;18.99;شاحن دراجة اصلي - 5امبير - يخرج 73 فولت;;;CB-60-5;6.99;12
CB-60-10;شاحن ليثيوم 60 نظام  - 10 أمبير;31.94;شاحن دراجة اصلي - جسم المنيوم - يخرج 73 فولت - 10 امبير;"يخرج بين 8-10 فعلي حسب جهد شحن والامتلاء ""كل شواحن هيك""";;CB-60-10;7.44;24.50
CB-72-5;شاحن ليثيوم 72 نظام  - 5 أمبير;23;شاحن دراجة اصلي - يخرج 87.6 فولت - 5 امبير - مخصص للفوسفات الحديد;;;CB-72-5;10;13
CB-72-10;شاحن ليثيوم 72 نظام  - 10 أمبير;35.12;شاحن دراجات  اصلي - هيكل معدني - مع مروحة - يخرج 87.6 فولت  - مخصص لـ ليثيوم فوسفات الحديد - جكة ثلاثية - 10 امبير;"فعلي بين 8 و10 حسب الجهد وامتلاء شحن ""كل شواحن هيك""";;CB-72-10;9.62;25.50
EVE40-72;بطارية دراجة ليثيوم خلايا EVE نظام 72 فولت 40 أمبير;499;براند ايفي - 4000 دورة - تاريخ حديث - سمارت - كفالة 3 سنوات;"خلايا ايفي الاسطوانية موديل c40
من موقع شركة مصنعة 4000 سايكل
خلايا grade a+
مع bms jk smart ذكي يتحمل تفريغ اقلاعي لل 100 امبير
ومستمر 60 امبير فعلي
غير مرفقة بشاشة تباع مستقلاً";;EVE40-72, EVE40-72-1, EVE40-72-2, EVE40-72-3;159;340
BIWO24-50;بطارية ليثيوم للدراجات 24 فولت 50 امبير سمارت;187;نظام سمارت - كفالة  3 سنوات - براند biwo;"مواصفات ضمن صور الجانبية 
تاريخ حديث - كفالة خطية - bms jk مميزة - موازنة نشطة مدمجة 
مناسبة ل كرسي متحرك لذوي الاحتياجات
تمشي مسافة طويلة 50 كيلو على الاقل  حسب تضاريس وسرعة
هي مخصصة للدراجات لانها خلايا اسطوانية تتحمل الحرارة والاقلاعات";;BIWO24-50, BIWO24-50-1, BIWO24-50-2;19;168
JSK-30-72;بطارية ليثيوم دراجة فوسفات نظام 72 فولت 30 امبير;335;نظام سمارت - كفالة 3 سنوات - تدعم بلوتوث وتطبيق خلايا جديدة من براند Jiashikai  المشهور جداً;"ماركة Jiashikai  نصف صين تركب منها وممتازة كثيراً
عن تجربة وخبرة ومكفولة 
مواصفات بصور";;JSK-30-72, JSK-30-72-1, JSK-30-72-2, JSK-30-72-3, JSK-30-72-4;65;270
GP48-20;بطارية ليثيوم فوسفات الحديد 20 امبير 48 فولت سمارت دراجات;170;خلايا جديدة - سمارت - شركة غريت بور المميزة great power كفالة 3 سنوات خطية;"مواصفات خلايا ضمن صور
نظام سمارت تطبيق ذكي + موازنة نشطة
اعلى مواصفات
تفاصيل اكثر ضمن اشيع اسئلة";;GP48-20, GP48-20-1, GP48-20-2;35;135
GP72-20;بطارية ليثيوم فوسفات 72 فولت 20 امبير براند great power;225;شركة غريت بور المميزة - كفالة 3 سنوات - تاريخ حديث - نظام سمارت تدعم تطبيق هاتف ذكي;"مواصفات خلايا ضمن صور جانبية
خلايا ممتازة جدا ع اقلاعات ومجربة وتتحمل حرارة لانها فوسفات حديد وليست ""ايون قد تنفجر""
يرجى مراجعة قسم اشيع اسئلة";;GP72-20, GP72-20-1, GP72-20-2;50;175
GP60-20;بطارية ليثيوم دراجة 60 فولت 20 امبير;208.74;نظام سمارت - كفالة 3 سنوات - جديدة - براند great power المميز;"شركة great power المرموقة
موقع شركة مصنعة
https://www.greatpower.net/

خلايا جديدة وتاريخ حديث
bms smart وتتحمل اقلاعات لل 60 امبير
كفالة خطية
اداء قوي وثابت 
ضمن صور في المواصفات من كتالوج الشركة
ملاحظة: كثير من بطاريات تجارية بلا موازنة نشطة هي ميزة كتير مهمة للاداء المستقر على المدى بعيد";;GP60-20, GP60-20-1, GP60-20-2, GP60-20-3, GP60-20-4;48.74;160
BIWO50-72;بطارية ليثيوم دراجات 72 فولت 50 امبير;555;نظام سمارت - كفالة 3 سنوات - جديدة - براند biwo - خلايا اسطوانية;تدعم تطبيق هاتف - خلايا اسطوانية مقاومة للحرارة والإجهاد وعمرها اطول وافضل بالمناطق والأحمال المعرضة للشمس والضغط والإقلاعات - سمارت تدعم تطبيق- bms jk smart 60a اقلاع 100 ل 5دقائق - مرفقة ب فلين طري للصندوق لل عزل من صدمات - كفالة خطية - اداء ممتاز - تتحمل اقلاعات الخلايا لل 150 امبير وتفريغ مستمر 50 امبير;;BIWO50-72, BIWO50-72-1, BIWO50-72-2, BIWO50-72-3;35;520
B48-20;بطارية ليثيوم دراجة 20 أمبير نظام 48 فولت;209.90;خلايا ايفي موديل C40 فوسفات - 4000 دورة - تاريخ  2025\12 حديث A+- تدعم موازن نشط سمارت BMS JK SMART;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 16 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
34*9 سم
17*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  57.6 فولت
جهد المفضل 56.3 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";"""عند شراءك للبطارية تحصل على خصم لساعة الفولت ماركة JK بدل 15$ ترجع فقط بـ 10$ خصم مميز""";B48-20-1;17.90;192
B60-20;بطارية ليثيوم دراجة 20 أمبير نظام 60 فولت;259.90;خلايا ايفي موديل C40 فوسفات - 4000 دورة - تاريخ  2025\12 حديث A+- تدعم موازن نشط سمارت BMS JK SMART;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 20 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
42*9 سم
21*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  72 فولت
جهد المفضل 71-70 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";;B60-20-1, B60-20-2;29.90;230
B72-20;بطارية ليثيوم دراجة 20 أمبير نظام 72 فولت;295;خلايا ايفي موديل C40 فوسفات - 4000 دورة - تاريخ  2025\12 حديث A+- تدعم موازن نشط سمارت BMS JK SMART;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 24 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
49*9 سم
25*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  86.4 فولت
جهد المفضل 85.2 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";;B72-20-1;25;270
CH7210;شاحن ليثيوم دراجة 10 أمبير 84 فولت;36;شاحن اصلي نوعية تقيلة لنظام 72 فولت اسمي;"شاحن 10 امبير اسمي - 8 فعلي ""نتيجة هبوط وهمي بسبب الشحن""  شاحن يخرج ماكس 84 فولت - شاحن  نوع جكة الخاصة به مرفقة بالصورة ""جكة ثنائية"" يمكن شراء أي جكة ثلاثية من السوق وتركيبها بقص السلك وتوصيل الموجب والسالب بسهولة - جكات ثلاثية وثنائية متوفرة بكثرة بالسوق ورخيصة جدا";3+P=33;CH7210-1;6;30
