CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
EVE72-40;بطارية دراجة ليثيوم 72 فولت 40 أمبير EVE;499;شركة ايفي - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"خلايا ايفي الاسطوانية موديل c40
من موقع شركة مصنعة 4000 سايكل
خلايا grade a+
مع bms jk smart ذكي يتحمل تفريغ اقلاعي لل 100 امبير
ومستمر 60 امبير فعلي
غير مرفقة بشاشة تباع مستقلاً";;EVE40-72, EVE40-72-1, EVE40-72-2, EVE40-72-3;159;340
BIWO24-50;بطارية دراجة ليثيوم 24 فولت 50 أمبير BIWO;187;شركة biwo - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"مواصفات ضمن صور الجانبية 
تاريخ حديث - كفالة خطية - bms jk مميزة - موازنة نشطة مدمجة 
مناسبة ل كرسي متحرك لذوي الاحتياجات
تمشي مسافة طويلة 50 كيلو على الاقل  حسب تضاريس وسرعة
هي مخصصة للدراجات لانها خلايا اسطوانية تتحمل الحرارة والاقلاعات";;BIWO24-50, BIWO24-50-1, BIWO24-50-2;19;168
JSK72-30;بطارية دراجة ليثيوم 72 فولت 30 أمبير Jiashikai;335;شركة Jiashikai - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"**مواصفات الخلايا:**
جديدة - تاريخ حديث - ليثيوم نوع فوسفات الحديد Lipo4fe
-----------------------
**عدد دورات:**
3000+ سايكل
شروط ( تفريغ 70% / ℃ 25 / 1C )
-----------------------
**مقاسات التي يمكن تفصيلها حسب الطلب** بوحدة سم
40*16*15
21*27*15
-----------------------
قوة تحمل المستمر : 3C
""3 ضعف السعة الاسمية""
قوة تحمل الإقلاع "" 5C
""6 ضعف السعة الاسمية"" ل عشر ثواني فقط
-----------------------
**نوع ال BMS نظام :**
JK SMART BMS
**قوة تحمل الكرت :**
40 امبير مستمر فعلي - 60 امبير إقلاعي لـ 5 دقائق 
-----------------------
**مواصفات كرت JK BMS**
مراقبة شاملة - تغيير إعدادات وتحكم كامل بجهود فصل - مراقبة حرارة - جهود خلايا - سعة % متبقية - الفولت - تنبيهات وإخطارات - قفل بكلمة مرور - حساب عدد الدورات 
-----------------------
**موقع الشركة المصنعة:**
Taizhou Jiashikai New Energy Technology Co., Ltd
www.jskxny.com  
شركة مشهورة جداً وعلى يوتيوب تلاحظ كثير من مصانع تجميع تركب منها
-----------------------
**//ملاحظات://**
"""" غير مرفقة بشاحن و بشاشة نسبة """"  تباع مستقلاً 
يمكنك ضمن قسم البحث كتابة ""شاحن ليثيوم- شاشة نسبة"" لتظهر لك الاسعار  مباشرة
يرجى قراءة ضمن قسم أشيع الأسئلة قسم بطاريات دراجات للمزيد من تفاصيل الكاملة وشروط كفالة المنتج
يمكنك زيارة قسم ""تقييمات العملاء"" للتأكد من الجودة والمصداقية
مرفقة بـ كتالوج PDF  شامل شرح كامل عن النظام
-----------------------";;JSK72-30, JSK72-30-1, JSK72-30-2, JSK72-30-3, JSK72-30-4;65;270
GP48-20;بطارية دراجة ليثيوم 48 فولت 20 أمبير GREAT POWER;170;شركة Great Power - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"مواصفات خلايا ضمن صور
نظام سمارت تطبيق ذكي + موازنة نشطة
اعلى مواصفات
تفاصيل اكثر ضمن اشيع اسئلة";;GP48-20, GP48-20-1, GP48-20-2;35;135
GP72-20;بطارية دراجة ليثيوم 72 فولت 20 أمبير GREAT POWER;225;شركة Great Power - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"مواصفات خلايا ضمن صور جانبية
خلايا ممتازة جدا ع اقلاعات ومجربة وتتحمل حرارة لانها فوسفات حديد وليست ""ايون قد تنفجر""
يرجى مراجعة قسم اشيع اسئلة";;GP72-20, GP72-20-1, GP72-20-2;50;175
GP60-20;بطارية دراجة ليثيوم 60 فولت 20 أمبير GREAT POWER;208.74;شركة Great Power - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"شركة great power المرموقة
موقع شركة مصنعة
https://www.greatpower.net/

خلايا جديدة وتاريخ حديث
bms smart وتتحمل اقلاعات لل 60 امبير
كفالة خطية
اداء قوي وثابت 
ضمن صور في المواصفات من كتالوج الشركة
ملاحظة: كثير من بطاريات تجارية بلا موازنة نشطة هي ميزة كتير مهمة للاداء المستقر على المدى بعيد";;GP60-20, GP60-20-1, GP60-20-2, GP60-20-3, GP60-20-4;48.74;160
BIWO50-72;بطارية دراجة ليثيوم 72 فولت 50 أمبير BIWO;525;شركة BIWO - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;تدعم تطبيق هاتف - خلايا اسطوانية مقاومة للحرارة والإجهاد وعمرها اطول وافضل بالمناطق والأحمال المعرضة للشمس والضغط والإقلاعات - سمارت تدعم تطبيق- bms jk smart 60a اقلاع 100 ل 5دقائق - مرفقة ب فلين طري للصندوق لل عزل من صدمات - كفالة خطية - اداء ممتاز - تتحمل اقلاعات الخلايا لل 150 امبير وتفريغ مستمر 50 امبير;;BIWO50-72, BIWO50-72-1, BIWO50-72-2, BIWO50-72-3;50;475
EVE48-20;بطارية ليثيوم دراجة 20 أمبير نظام 48 فولت;195;شركة EVE - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 16 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
34*9 سم
17*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  57.6 فولت
جهد المفضل 56.3 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";"""عند شراءك للبطارية تحصل على خصم لساعة الفولت ماركة JK بدل 15$ ترجع فقط بـ 10$ خصم مميز""";B48-20-1;50;145
EVE60-20;بطارية ليثيوم دراجة 20 أمبير نظام 60 فولت;230;شركة EVE - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 20 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
42*9 سم
21*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  72 فولت
جهد المفضل 71-70 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";;B60-20-1, B60-20-2;60;170
EVE72-20;بطارية ليثيوم دراجة 20 أمبير نظام 72 فولت;260;شركة EVE - نظام سمارت تدعم تطبيق هاتف - كفالة 3 سنوات;"""شركة المصنعة : EVE enargy """"براند مميز""""
خلايا جديدة A+
قطر الخلية: 4 سم
ارتفاع الخلية: 15 سم
عدد الخلايا : 24 خلية
موديل الخلايا : c40
خلية اسمي 20 امبير فعلي 22 امبير
عدد الدورات : 4000 دورة """"من موقع ايفي الرسمي"""" ((مميز))
تفريغ قياسي : 1c
تفريغ الأقصى: 2c
تفريغ إقلاعي لـ 3 ثواني : 3c
حجم البطارية: """"تأتي بعدة أحجام حسب الطلب تجمع الخلايا""""
الارتفاع ثابت وهو 15 سم
الحجوم التي يمكن تطبيقها هي: 
49*9 سم
25*17 سم
مواصفات أخرى للخلايا:
 محلومة براغي ووصلات نحاسية بين خلايا لكفاءة نقل عالية """"ليست لحام نيكل""""
 مجمعة بـ هولدرات بلاستيكية للتهوية وإطالة العمر """"تجميع احترافي""""

مواصفات الـ bms:
ماركة jk bms smart
موازن نشط 0.4 امبير
تحمل تيار مستمر 40 امبير
تحمل تيار اقلاعي 60 امبير 
يدعم بلوتوث ومراقبة شاملة عن طريق الهاتف

بطارية غير مرفقة بشاحن ولا ساعة فولت """"تباع مستقلاً""""
تغليف البطارية وعزلها تماماً """"حسب الطلب"""" يفضل أن يكون الصندوق مغلق تماماً ومعزول للماء وبطارية مرفقة بـ فلين طري لوضعها بأمان ضد الصدمات داخل صندوق
""""حرارة أكثر عمر أقل"""" لذلك نفضل إبقاءها مهواة

بطارية لا تأتي بصندوق معدني 

يرجى مراجعة قسم أشيع الأسئلة عن بطاريات الدراجات """"هام جداً""""

يرجى الانتباه للمواصفات , يوجد  أسعار أرخص لاكن على حساب الجودة وعدد الدورات , يجب التأكد من عدد دورات مع دليل مادي مباشر من شركة مصنعة وغيرها من مواصفات """"ننوه على قسم أشيع الأسئلة للدراجات""""

بطارية ليست الأرخص بسوق , لاكن هي الأكثر توفيراً على المدى الطويل , لذلك خيار شراء سيكون ذكي واستثمار ناجح بسبب عدد دورات الكبير

بطارية مكفولة 3 سنوات من تاريخ الشراء ""

جهد الشحن الأقصى  86.4 فولت
جهد المفضل 85.2 فولت

""مرفقة بدليل استخدام شامل يشرح كل شيء بعد الشراء + دعم فني شامل""";;B72-20-1;60;200
