CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
DRX1K-315;شريحة مستقبل 4 قنوات تردد 315 حجم MINI;1.10;شريحة من نوع DRX1K تدعم وضع لحظي دائم لاتش تحتوي ميزة تعلم يدوي لكل كود لحال;مستقبلات تقليدية مثل RX480E عند ضغط اي زر بالريموت تلقائياً تتم التعلم لكل الازرار والمخارج 4 قنوات - لاكن هذا مستقبل كل مخرج يتعلم الكود بشكل مستقل تماماً - تغذية بين 3.3 لل 5.5 فولت - الخرج اشارة HIGH موجبة - حجم صغير وميني - يمكن بحث ع الويب للبرمجة بسهولة;;DRX1K-315;0.15;0.95
KR1201;مستقبل 1 أمر;3.99;مخرج 10 أمبير - تغذية 12 فولت;علبة حجم صغير 30*35*17 ملم - تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 220 فولت والتغذية 12 فولت للشريحة الاستقبال;2p=10%, 3p=15%, 10p=19%;;2.70;1.29
5301;مستقبل 1 أمر;4.97;مخرج 10 أمبير - تغذية من 5 لـ 30  فولت;علبة حجم صغير 30*35*17 ملم - تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 220 فولت والتغذية 6-30 فولت للشريحة الاستقبال;2p=10%, 3p=15%, 10p=19%;;2.90;2.07
2201COM2;مستقبل 1 أمر;4.93;"مخرج 10 أمبير - تغذية 220 فولت - يدعم ميزة توقيت الزمني ""تأخير"" زمني";"يتميز ب وضع ""دائم-لحظي-لاتش , يعني: زر بشغل زر بطفي"" ووضع جديد مميزة هو ""في حال ضغط نقرة لحظية يتم تشغيل لمدة 5-10-20 ثانية ثم يفصل تلقائياً "" ((تسمى ميزىة تأخير زمني )) - يمكنك شراء قاطع مؤقت تاخير زمني سعره زهيد من محلات كهربا صناعية وعمل نفس الوظيفة لاي مستقبل اخر - علبة حجم صغير 40*36*25 ملم - تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 5 فولت أو إدخال إشارة حساس ما بشكل مستقل تماماً , التغذية 220 فولت للشريحة الاستقبال ""للشريحة فقط""";2P=10%, 3P=15%, 10P=20%;2201com2;2.99;1.94
1202com1;مستقبل 2 أمر;5.58;مخرج 10 أمبير - تغذية 12 فولت;علبة حجم صغير 38*46*17 ملم - تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 220 فولت والتغذية 12 فولت للشريحة الاستقبال;2p=10%, 3p=15%, 10p=20%;;2.99;2.59
2202B;مستقبل 2 أمر;6.54;مخرج 10 أمبير - تغذية 220 فولت;"علبة بحجم 68*48*16
تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 5 فولت أو إدخال إشارة حساس ما بشكل مستقل تماماً , التغذية 220 فولت للشريحة الاستقبال ""للشريحة فقط";3p=10%, 5p=12%, 10p=20%;;3.05;3.49
KR2202;مستقبل 2 أمر;6.19;مخرج 10 أمبير - تغذية 220 فولت;"70*50*17 علبة بحجم
تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 5 فولت أو إدخال إشارة حساس ما بشكل مستقل تماماً , التغذية 220 فولت للشريحة الاستقبال ""للشريحة فقط""";2p=15%, 5p=20%, 10p=23%;;3.35;2.84
1204;مستقبل 4 أمر;6.80;مخرج 10 أمبير - تغذية 12 فولت - يدعم 7 أوضاع MODE;"يدعم 7 اوضاع مميزة هنا شرح كامل:
https://www.facebook.com/share/v/1D96PSX5r8/
حجم بالملم 70*50*25
تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 220 فولت والتغذية 12 فولت للشريحة الاستقبال";3P=15%, 5P=20%, 10P=23%;1204;3.70;3.10
2204;مستقبل 4 أمر;6.62;مخرج 10 أمبير - تغذية 220 فولت - يدعم 7 أوضاع MODE;"يدعم 7 اوضاع مميزة هنا شرح كامل:
https://www.facebook.com/share/v/1D96PSX5r8/
70*50*25 علبة بحجم
تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 5 فولت أو إدخال إشارة حساس ما بشكل مستقل تماماً , التغذية 220 فولت للشريحة الاستقبال ""للشريحة فقط""";3P=15%, 5P=20%, 10P=23%;2204;3;3.62
1208;مستقبل 8 أمر;11.40;مخرج 10 أمبير - تغذية 12 فولت;"96*71*25 حجم بالملم
تغذية 12 فولت , تغذية الشريحة مستقلة عن خرج الريليه بمعنى يمكن تركيب حمل 220 فولت والتغذية 12 فولت للشريحة الاستقبال";3p=5%, 5p=10%, 10p=12%;;3;8.40
